category,GO_term,gene
MS,Response to mechanical stimulus,IL1B
MS,Response to mechanical stimulus,IL33
MS,Response to mechanical stimulus,IRF1
MS,Response to mechanical stimulus,ITGA2
MS,Response to mechanical stimulus,ITGAM
MS,Response to mechanical stimulus,ITGB3
MS,Response to mechanical stimulus,JUP
MS,Response to mechanical stimulus,KCNA1
MS,Response to mechanical stimulus,KCNA5
MS,Response to mechanical stimulus,KCNC1
MS,Response to mechanical stimulus,KCNJ2
MS,Response to mechanical stimulus,KCNK2
MS,Response to mechanical stimulus,KCNK4
MS,Response to mechanical stimulus,KCNQ1
MS,Response to mechanical stimulus,KCNQ3
MS,Response to mechanical stimulus,KIAA0319
MS,Response to mechanical stimulus,KIT
MS,Response to mechanical stimulus,KRT5
MS,Response to mechanical stimulus,LARGE1
MS,Response to mechanical stimulus,LHFPL5
MS,Response to mechanical stimulus,LRP11
MS,Response to mechanical stimulus,LTBR
MS,Response to mechanical stimulus,MAG
MS,Response to mechanical stimulus,MAP1B
MS,Response to mechanical stimulus,MAP2K4
MS,Response to mechanical stimulus,MAP3K1
MS,Response to mechanical stimulus,MAP3K14
MS,Response to mechanical stimulus,MAP3K2
MS,Response to mechanical stimulus,MAPK14
MS,Response to mechanical stimulus,MAPK3
MS,Response to mechanical stimulus,MAPK8
MS,Response to mechanical stimulus,MDK
MS,Response to mechanical stimulus,MEIS2
MS,Response to mechanical stimulus,MKKS
MS,Response to mechanical stimulus,MMP14
MS,Response to mechanical stimulus,MMP2
MS,Response to mechanical stimulus,MPO
MS,Response to mechanical stimulus,MTPN
MS,Response to mechanical stimulus,MYD88
MS,Response to mechanical stimulus,NEUROG1
MS,Response to mechanical stimulus,NFKB1
MS,Response to mechanical stimulus,NFKBIA
MS,Response to mechanical stimulus,NPPA
MS,Response to mechanical stimulus,NRXN1
MS,Response to mechanical stimulus,NRXN2
MS,Response to mechanical stimulus,NTRK1
MS,Response to mechanical stimulus,P2RX3
MS,Response to mechanical stimulus,P2RX7
MS,Response to mechanical stimulus,P2RY1
MS,Response to mechanical stimulus,PDE2A
MS,Response to mechanical stimulus,PDZD7
MS,Response to mechanical stimulus,PHF24
MS,Response to mechanical stimulus,PIEZO1
MS,Response to mechanical stimulus,PIEZO2
MS,Response to mechanical stimulus,PIK3CA
MS,Response to mechanical stimulus,PJVK
MS,Response to mechanical stimulus,PKD1
MS,Response to mechanical stimulus,PKD1L1
MS,Response to mechanical stimulus,PKD1L2
MS,Response to mechanical stimulus,PKD1L3
MS,Response to mechanical stimulus,PKD2
MS,Response to mechanical stimulus,PKD2L1
MS,Response to mechanical stimulus,PKD2L2
MS,Response to mechanical stimulus,PKDREJ
MS,Response to mechanical stimulus,PLEC
MS,Response to mechanical stimulus,POSTN
MS,Response to mechanical stimulus,PPL
MS,Response to mechanical stimulus,PSPH
MS,Response to mechanical stimulus,PTCH1
MS,Response to mechanical stimulus,PTGER4
MS,Response to mechanical stimulus,PTGS2
MS,Response to mechanical stimulus,PTK2
MS,Response to mechanical stimulus,PTK2B
MS,Response to mechanical stimulus,PTN
MS,Response to mechanical stimulus,RAF1
MS,Response to mechanical stimulus,RELA
MS,Response to mechanical stimulus,RETN
MS,Response to mechanical stimulus,RPS6KB1
MS,Response to mechanical stimulus,RYR2
MS,Response to mechanical stimulus,SCEL
MS,Response to mechanical stimulus,SCN11A
MS,Response to mechanical stimulus,SCN1A
MS,Response to mechanical stimulus,SCN9A
MS,Response to mechanical stimulus,SCX
MS,Response to mechanical stimulus,SERPINE2
