category,GO_term,gene
CF,Microtubule,RASSF5
CF,Microtubule,RCC2
CF,Microtubule,REEP1
CF,Microtubule,REEP2
CF,Microtubule,REEP3
CF,Microtubule,REEP4
CF,Microtubule,RGS14
CF,Microtubule,RIBC2
CF,Microtubule,RMDN1
CF,Microtubule,RMDN2
CF,Microtubule,RMDN3
CF,Microtubule,RNF4
CF,Microtubule,ROR2
CF,Microtubule,RP1
CF,Microtubule,RP1L1
CF,Microtubule,RPGRIP1L
CF,Microtubule,RUSC1
CF,Microtubule,SAA1
CF,Microtubule,SARM1
CF,Microtubule,SAXO1
CF,Microtubule,SAXO2
CF,Microtubule,SCTR
CF,Microtubule,SELENOS
CF,Microtubule,SEPTIN9
CF,Microtubule,SERP1
CF,Microtubule,SHROOM1
CF,Microtubule,SHROOM2
CF,Microtubule,SHROOM3
CF,Microtubule,SHTN1
CF,Microtubule,SIRT2
CF,Microtubule,SKA1
CF,Microtubule,SKA2
CF,Microtubule,SKA3
CF,Microtubule,SLAIN1
CF,Microtubule,SLAIN2
CF,Microtubule,SNPH
CF,Microtubule,SNTB2
CF,Microtubule,SPACA9
CF,Microtubule,SPAG17
CF,Microtubule,SPAG5
CF,Microtubule,SPAG6
CF,Microtubule,SPAG8
CF,Microtubule,SPAST
CF,Microtubule,SPEF1
CF,Microtubule,SPRY2
CF,Microtubule,SRPRB
CF,Microtubule,STAU2
CF,Microtubule,STIM1
CF,Microtubule,STMN1
CF,Microtubule,SVIL
CF,Microtubule,SYBU
CF,Microtubule,SYNJ1
CF,Microtubule,TBCA
CF,Microtubule,TBCB
CF,Microtubule,TBCC
CF,Microtubule,TBCD
CF,Microtubule,TBCE
CF,Microtubule,TCP1
CF,Microtubule,TCP11L1
CF,Microtubule,TEKT1
CF,Microtubule,TEKT2
CF,Microtubule,TEKT3
CF,Microtubule,TEKT4
CF,Microtubule,TEKTIP1
CF,Microtubule,TIAM1
CF,Microtubule,TMEM214
CF,Microtubule,TOGARAM1
CF,Microtubule,TOGARAM2
CF,Microtubule,TPGS1
CF,Microtubule,TPGS2
CF,Microtubule,TPPP
CF,Microtubule,TPPP2
CF,Microtubule,TPPP3
CF,Microtubule,TPT1
CF,Microtubule,TPX2
CF,Microtubule,TRIM54
CF,Microtubule,TRIM55
CF,Microtubule,TRIM63
CF,Microtubule,TRPV4
CF,Microtubule,TTL
CF,Microtubule,TTLL1
CF,Microtubule,TTLL11
CF,Microtubule,TTLL13
CF,Microtubule,TTLL3
CF,Microtubule,TTLL4
CF,Microtubule,TTLL5
CF,Microtubule,TTLL6
CF,Microtubule,TTLL7
CF,Microtubule,TTLL8
CF,Microtubule,TTLL9
CF,Microtubule,TUBA1A
CF,Microtubule,TUBA1B
CF,Microtubule,TUBA1C
CF,Microtubule,TUBA3C
CF,Microtubule,TUBA3D
CF,Microtubule,TUBA3E
CF,Microtubule,TUBA4A
CF,Microtubule,TUBA4B
CF,Microtubule,TUBA8
CF,Microtubule,TUBAL3
CF,Microtubule,TUBB
CF,Microtubule,TUBB1
CF,Microtubule,TUBB2A
CF,Microtubule,TUBB2B
