"gene","fpr","tpr"
"PCDHB7",0,0.0909090909090909
"PCDHB7",0,0.0727272727272727
"PCDHB7",0,0.0545454545454545
"PCDHB7",0,0.0363636363636364
"PCDHB7",0,0.0181818181818182
"PCDHB7",0,0
"RRAGB",1,1
"RRAGB",0.966666666666667,1
"RRAGB",0.933333333333333,1
"RRAGB",0.933333333333333,0.981818181818182
"RRAGB",0.9,0.981818181818182
"RRAGB",0.866666666666667,0.981818181818182
"RRAGB",0.866666666666667,0.963636363636364
"RRAGB",0.833333333333333,0.963636363636364
"RRAGB",0.833333333333333,0.945454545454545
"RRAGB",0.833333333333333,0.927272727272727
"RRAGB",0.8,0.927272727272727
"RRAGB",0.766666666666667,0.927272727272727
"RRAGB",0.733333333333333,0.927272727272727
"RRAGB",0.7,0.927272727272727
"RRAGB",0.666666666666667,0.927272727272727
"RRAGB",0.666666666666667,0.909090909090909
"RRAGB",0.666666666666667,0.890909090909091
"RRAGB",0.666666666666667,0.872727272727273
"RRAGB",0.633333333333333,0.872727272727273
"RRAGB",0.6,0.872727272727273
"RRAGB",0.566666666666667,0.872727272727273
"RRAGB",0.566666666666667,0.854545454545454
"RRAGB",0.533333333333333,0.854545454545454
"RRAGB",0.533333333333333,0.836363636363636
"RRAGB",0.533333333333333,0.818181818181818
"RRAGB",0.533333333333333,0.8
"RRAGB",0.5,0.8
"RRAGB",0.5,0.781818181818182
"RRAGB",0.5,0.763636363636364
"RRAGB",0.5,0.745454545454545
"RRAGB",0.5,0.727272727272727
"RRAGB",0.5,0.709090909090909
"RRAGB",0.466666666666667,0.709090909090909
"RRAGB",0.433333333333333,0.709090909090909
"RRAGB",0.4,0.709090909090909
"RRAGB",0.4,0.690909090909091
"RRAGB",0.366666666666667,0.690909090909091
"RRAGB",0.366666666666667,0.672727272727273
"RRAGB",0.333333333333333,0.672727272727273
"RRAGB",0.3,0.672727272727273
"RRAGB",0.3,0.654545454545455
"RRAGB",0.3,0.636363636363636
"RRAGB",0.3,0.618181818181818
"RRAGB",0.3,0.6
"RRAGB",0.3,0.581818181818182
"RRAGB",0.3,0.563636363636364
"RRAGB",0.266666666666667,0.563636363636364
"RRAGB",0.266666666666667,0.545454545454545
"RRAGB",0.266666666666667,0.527272727272727
"RRAGB",0.266666666666667,0.509090909090909
"RRAGB",0.233333333333333,0.509090909090909
"RRAGB",0.233333333333333,0.490909090909091
"RRAGB",0.2,0.490909090909091
"RRAGB",0.2,0.472727272727273
"RRAGB",0.2,0.454545454545455
"RRAGB",0.166666666666667,0.454545454545455
"RRAGB",0.166666666666667,0.436363636363636
"RRAGB",0.166666666666667,0.418181818181818
"RRAGB",0.133333333333333,0.418181818181818
"RRAGB",0.1,0.418181818181818
"RRAGB",0.0666666666666667,0.418181818181818
"RRAGB",0.0666666666666667,0.4
"RRAGB",0.0333333333333333,0.4
"RRAGB",0.0333333333333333,0.381818181818182
"RRAGB",0,0.381818181818182
"RRAGB",0,0.363636363636364
"RRAGB",0,0.345454545454545
"RRAGB",0,0.327272727272727
"RRAGB",0,0.309090909090909
"RRAGB",0,0.290909090909091
"RRAGB",0,0.272727272727273
"RRAGB",0,0.254545454545455
"RRAGB",0,0.236363636363636
"RRAGB",0,0.218181818181818
"RRAGB",0,0.2
"RRAGB",0,0.181818181818182
"RRAGB",0,0.163636363636364
"RRAGB",0,0.145454545454545
"RRAGB",0,0.127272727272727
"RRAGB",0,0.109090909090909
"RRAGB",0,0.0909090909090909
"RRAGB",0,0.0727272727272727
"RRAGB",0,0.0545454545454545
"RRAGB",0,0.0363636363636364
"RRAGB",0,0.0181818181818182
"RRAGB",0,0
