fov,MRG,ECM,n
245,-0.07398027494770021,-0.17222704875522676,1683
246,-0.06549190429509405,-0.13020916524829035,2222
247,-0.05534053213982496,-0.11660028852013027,1764
248,-0.020058166023111862,-0.10076299517881226,1435
249,-0.03897509833984099,-0.07118785255103117,1780
250,-0.03282471269455811,-0.053953636336677845,1630
251,-0.016541048850448974,-0.051416833054948555,1688
252,-0.026486221427767968,-0.10138962562434883,1816
253,-0.023471882115926157,-0.0979874432228089,1625
254,-0.0374252721488082,-0.04260218751535282,2150
255,-0.04967920407096556,-0.12150957940393617,1569
256,-0.008286949224424193,-0.11527848635270041,1353
257,-0.054293465991863896,-0.13642328891848143,1740
258,-0.021747764631278872,-0.061611660239333,1837
259,-0.024527006275564804,-0.05510309709862905,1669
260,-0.03988458140249228,-0.11385561990728443,1368
261,0.011023381422244528,-0.08742137014665556,1220
262,-0.002622575816429836,-0.12015873425256401,1258
263,-0.03328592682232608,-0.08330843957553931,1361
264,-0.037713448485807266,-0.050901359532638364,2245
265,-0.06925320102306043,-0.1296371053192909,1654
266,-0.05765951353400028,-0.09986218334173758,1856
267,-0.016428539388398895,-0.07863133588981572,1370
268,-0.05664582852708348,-0.12564223225138638,1381
269,-0.05689937893572255,-0.1586633672413322,1497
270,-0.04755706914193157,-0.1097363817264013,1787
271,-0.02021709892705901,-0.04307193295543551,1711
272,-0.011974984160776567,-0.04418696788454529,1708
273,-0.0021581692852785184,-0.0658408083387086,1174
274,-0.046569029381240995,-0.03867393855777056,2242
275,-0.05158119066741997,-0.07209187461064719,2268
276,-0.026999432063544073,-0.03550829741375646,2012
277,-0.04462709487923318,-0.07173985663204768,1802
278,-0.06909972642725475,-0.13141770278044196,1696
279,-0.08099256565797451,-0.17316564213505742,1595
280,-0.0634249770538301,-0.17833013853340984,1391
281,-0.06078957498429944,-0.14689483935603762,1623
282,-0.053902950032945915,-0.09975099903609551,1589
283,-0.045980676093652535,-0.08134285193437675,1113
284,-0.06746060009283279,-0.04967706380092749,1653
285,-0.06806491365221677,-0.13717216036865712,1601
286,-0.05314150712151929,-0.09465082203040993,1636
287,-0.04362618750814884,-0.12237312138380553,1429
288,-0.05885031782679758,-0.123214776124857,1390
289,-0.06550566061498664,-0.15873164649322924,1325
290,-0.017385345128443284,-0.10682721569235655,1277
291,-0.026291738162005203,-0.1511119234075616,965
292,-0.06131143012074908,-0.1534116162633794,1474
293,-0.06940498219557419,-0.13916002680694814,823
294,0.004806464878178037,-0.16940709016680117,998
295,0.0032179776252908737,-0.14286151890983168,1038
296,-0.00026888330472863,-0.09558479260364279,1075
297,-0.015499299816761696,-0.18052485249386258,980
298,0.006742077653342061,-0.14695705388499536,1008
299,0.007717958160137806,-0.11896425789648143,1132
300,0.046397464073412505,-0.13986852739470068,995
301,0.016869006135318908,-0.15165555288805352,1050
302,-0.0020093181986879484,-0.15692159740140516,953
303,0.004834331975506612,-0.1223549403196648,1219
304,-0.04070824298316155,-0.18130484463662086,1160
305,-0.023384694614359432,-0.14584675230160965,1315
306,0.008890498829112267,-0.15794396159528398,1053
307,-0.01868922960026262,-0.1534532777449537,1047
308,-0.05926628458253117,-0.16936445198822783,1502
309,-0.049309332730734186,-0.18256556112011887,1083
310,0.011578504748729969,-0.1348999949289578,1245
311,-0.04270034466393627,-0.1524365064424958,1345
312,-0.043148782113057706,-0.1894130748253171,1197
313,-0.03547224712600282,-0.17983572806960316,1265
314,-0.04959202015369528,-0.087220099711075,1684
315,-0.053045845576186385,-0.1902663926391189,1171
316,-0.04448545288394888,-0.19500824260693617,1213
317,-0.08464268418181972,-0.21202073313832123,1499
318,-0.023936479429999324,-0.1964232092357234,1123
319,-0.0399507141672297,-0.20618562045783934,1348
320,-0.05478870561422837,-0.2206760677585745,1231
321,-0.05109052981820959,-0.20508971841061877,1320
322,-0.06846713904602209,-0.2173391151744632,1622
